City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,qamdo,31.1667,97.2333,266.94,30,86,3.8,CN,1706672425
120,margate,51.3813,1.3862,280.2,91,66,0.89,GB,1706672420
121,trinity beach,-16.7888,145.6968,308.18,73,100,4.12,AU,1706672425
122,olonkinbyen,70.9221,-8.7187,269.18,75,100,6.58,SJ,1706672425
123,port alfred,-33.5906,26.891,294.36,94,100,0.45,ZA,1706672425
124,selfoss,63.9331,-20.9971,269.29,77,100,3.26,IS,1706672426
125,santyoku,37.4406,129.1708,283.31,35,6,0.68,KR,1706672426
126,chui,-33.6971,-53.4616,291.18,91,0,2.55,UY,1706672426
127,vorgashor,67.5833,63.95,259.89,95,100,4.5,RU,1706672426
128,vallenar,-28.5708,-70.7581,296.59,61,0,0.66,CL,1706672427
129,floro,61.5996,5.0328,278.13,87,100,12.35,NO,1706672331
130,colonia,50.9333,6.95,280.91,85,100,3.6,DE,1706672427
131,hawaiian paradise park,19.5933,-154.9731,299.88,83,100,3.09,US,1706672427
132,shimoda,34.6667,138.95,288.21,85,60,6.89,JP,1706672428
133,kailua-kona,19.6406,-155.9956,300.13,85,75,4.12,US,1706672428
134,lompoc,34.6391,-120.4579,287.0,86,0,0.0,US,1706672389
135,puerto aysen,-45.4,-72.7,287.13,99,100,2.19,CL,1706672428
136,ukhta,63.5671,53.6835,264.02,97,80,1.34,RU,1706672429
137,leh,34.1667,77.5833,267.69,72,99,2.42,IN,1706672429
138,montrose,38.4166,-108.2673,271.22,74,0,0.86,US,1706672429
139,bayji,34.9311,43.487,281.15,82,43,2.74,IQ,1706672429
140,kerikeri,-35.2268,173.9474,295.94,69,65,2.15,NZ,1706672430
141,guiratinga,-16.3494,-53.7583,295.84,81,98,1.11,BR,1706672430
142,aykhal,66.0,111.5,251.22,100,91,1.61,RU,1706672430
143,mar del plata,-38.0023,-57.5575,297.01,85,0,3.09,AR,1706672283
144,kulhudhuffushi,6.6221,73.07,300.96,73,74,2.7,MV,1706672430
145,jinghong,21.991,100.7341,297.53,48,2,1.41,CN,1706672431
146,comodoro rivadavia,-45.8667,-67.5,296.07,35,0,11.83,AR,1706672431
147,shimanovsk,52.0,127.7,252.13,78,21,2.81,RU,1706672431
148,petropavlovsk-kamchatsky,53.0452,158.6483,261.48,70,75,4.0,RU,1706672432
149,newman,37.3138,-121.0208,290.53,75,83,1.34,US,1706672432
150,lensk,60.7253,114.9278,247.81,88,66,3.21,RU,1706671837
151,stanley,54.868,-1.6985,277.75,79,0,6.17,GB,1706672432
152,arraial do cabo,-22.9661,-42.0278,298.01,92,42,3.22,BR,1706672142
153,aasiaat,68.7098,-52.8699,243.94,94,60,5.77,GL,1706672433
154,maryborough,-25.5333,152.7,302.1,69,96,6.06,AU,1706672433
155,arkhangel'sk,64.5401,40.5433,273.22,80,20,4.0,RU,1706672433
156,la tuque,47.4334,-72.7824,259.29,78,94,1.03,CA,1706672433
157,mitu,1.1983,-70.1733,297.23,90,98,0.54,CO,1706672433
158,cabo san lucas,22.8909,-109.9124,297.88,75,75,0.0,MX,1706672402
159,ishigaki,24.3448,124.1572,299.22,69,20,4.63,JP,1706672434
160,port mathurin,-19.6833,63.4167,300.66,81,100,8.58,MU,1706672324
161,la ronge,55.1001,-105.2842,279.29,52,0,4.12,CA,1706672438
162,keflavik,64.0049,-22.5624,270.39,93,75,11.83,IS,1706672438
163,nova sintra,14.8667,-24.7167,294.04,60,0,5.24,CV,1706672438
164,eceabat,40.1842,26.3574,278.13,75,75,11.83,TR,1706672439
165,atafu village,-8.5421,-172.5159,302.48,71,17,2.28,TK,1706672439
166,fort bragg,35.139,-79.006,282.06,78,100,2.57,US,1706672158
167,kayangel,8.0823,134.7173,300.48,83,49,10.04,PW,1706672439
168,ancud,-41.8697,-73.8203,287.23,95,100,2.04,CL,1706672439
169,north bend,43.4065,-124.2243,287.51,94,100,2.06,US,1706672418
170,revda,56.801,59.9303,262.57,97,94,2.06,RU,1706672439
171,la isla,18.6,-96.15,291.71,75,98,1.08,MX,1706672440
172,kuanda,56.3161,116.0806,243.62,93,48,0.88,RU,1706672338
173,palmer,42.1584,-72.3287,271.8,77,100,1.54,US,1706672440
174,lebu,-37.6167,-73.65,287.74,85,0,5.99,CL,1706672440
175,sao jose de ribamar,-2.5619,-44.0542,300.36,87,83,5.12,BR,1706672440
176,san patricio,28.017,-97.5169,287.07,66,100,2.39,US,1706672440
177,suining,30.508,105.5733,283.33,58,100,0.66,CN,1706672440
178,belomorsk,64.5232,34.7668,270.62,77,28,5.31,RU,1706672441
179,ust-nera,64.5667,143.2,243.86,97,100,2.15,RU,1706672441
180,saipan,15.1355,145.701,300.54,61,40,8.75,MP,1706672441
181,ulsteinvik,62.3432,5.8487,279.65,80,100,11.18,NO,1706672441
182,klaksvik,62.2266,-6.589,280.66,91,100,20.83,FO,1706672441
183,minas de marcona,-15.2119,-75.1103,291.86,82,100,4.3,PE,1706672441
184,crane,31.3974,-102.3501,287.41,41,35,3.22,US,1706672441
185,kodiak,57.79,-152.4072,261.88,48,0,0.0,US,1706672442
186,mocimboa,-11.3167,40.35,296.64,95,100,2.14,MZ,1706672390
187,happy valley-goose bay,53.3168,-60.3315,258.32,56,20,4.63,CA,1706672442
188,sirjan,29.452,55.6814,280.71,58,2,2.02,IR,1706672442
189,hamilton,39.1834,-84.5333,276.17,95,100,3.58,US,1706672215
190,mbandaka,0.0487,18.2603,298.26,49,100,1.06,CD,1706672443
191,kaa-khem,51.6833,94.7333,241.71,92,63,0.84,RU,1706672443
192,nemuro,43.3236,145.575,271.89,71,100,4.05,JP,1706672414
193,aracuai,-16.8497,-42.0703,295.06,97,99,0.91,BR,1706672443
194,zemio,5.0314,25.1361,293.17,37,70,1.69,CF,1706672443
195,veszprem,47.0933,17.9115,272.35,75,51,1.05,HU,1706672443
196,razole,16.4833,81.8333,299.15,57,15,1.63,IN,1706672443
197,mount gambier,-37.8333,140.7667,295.27,46,3,4.72,AU,1706672443
198,hasaki,35.7333,140.8333,288.31,49,27,5.06,JP,1706672444
199,twon-brass,4.3151,6.2418,300.08,84,55,3.31,NG,1706672444
200,menaka,15.9182,2.4022,291.33,18,29,4.84,ML,1706672444
201,primorsk,46.7348,36.3443,273.24,72,23,2.76,UA,1706672444
202,mendip,51.2372,-2.6266,276.56,82,38,2.57,GB,1706672444
203,vilyuchinsk,52.9306,158.4028,262.3,66,100,2.22,RU,1706672415
204,veinticinco de mayo,-35.4323,-60.1727,300.92,57,49,0.89,AR,1706672444
205,javea,38.7833,0.1667,286.4,86,99,0.89,ES,1706672445
206,kon tum,14.35,108.0,303.96,39,39,0.77,VN,1706672445
207,antigonish,45.6169,-61.9986,268.61,85,59,1.52,CA,1706672160
208,khanty-mansiysk,61.0042,69.0019,259.21,78,75,5.0,RU,1706672445
209,puerto baquerizo moreno,-0.9,-89.6,298.43,87,89,5.22,EC,1706672445
210,ahtari,62.554,24.0619,273.51,99,100,2.53,FI,1706672445
211,whitehorse,60.7161,-135.0538,270.58,50,20,4.12,CA,1706672445
212,nadym,65.5333,72.5167,250.24,95,15,6.56,RU,1706672446
213,altamont,42.2068,-121.7372,284.06,64,0,6.17,US,1706672446
214,maintirano,-18.0667,44.0167,299.16,76,2,1.96,MG,1706672446
215,saldanha,-33.0117,17.9442,291.18,94,97,2.52,ZA,1706672446
216,horsham,51.064,-0.3272,280.51,73,75,1.54,GB,1706672446
217,malabar,-33.9667,151.25,301.32,77,75,8.23,AU,1706672446
218,tromso,69.6496,18.957,276.16,48,20,13.24,NO,1706672446
219,cockburn town,21.4612,-71.1419,296.91,57,3,3.71,TC,1706672148
220,viedma,-40.8135,-62.9967,296.29,68,1,3.47,AR,1706672447
221,makaha,21.4694,-158.2175,299.1,78,75,2.57,US,1706672447
222,kayes,14.0,-11.0,295.92,14,95,1.72,ML,1706672447
223,kratie,12.4881,106.0188,305.95,37,47,2.36,KH,1706672447
224,okha,53.5739,142.9478,255.15,88,99,7.14,RU,1706672447
225,sanya,18.2431,109.505,299.24,69,40,3.0,CN,1706672448
226,barentu,15.1139,37.5928,289.47,65,51,1.65,ER,1706672448
227,rye,40.9807,-73.6837,275.51,81,100,3.09,US,1706672448
228,ghadamis,30.1337,9.5007,281.79,59,47,3.98,LY,1706672448
229,stony plain,53.5334,-114.0021,279.81,56,0,2.57,CA,1706672237
230,sao joao da barra,-21.6403,-41.0511,297.75,95,100,0.23,BR,1706672448
231,san luis de la loma,17.2706,-100.8939,298.13,78,100,1.11,MX,1706672448
232,kiuruvesi,63.65,26.6167,273.75,98,100,3.23,FI,1706672448
233,erenhot,43.6475,111.9767,254.5,83,6,2.23,CN,1706672449
234,cananeia,-25.0147,-47.9267,296.66,94,33,1.96,BR,1706672449
235,badger,64.8,-147.5333,246.1,73,40,1.54,US,1706672323
236,az zubayr,30.3945,47.7011,283.07,66,0,0.0,IQ,1706672449
237,chibougamau,49.9168,-74.3659,264.94,86,100,3.6,CA,1706672449
238,hammerfest,70.6634,23.6821,276.4,56,20,23.15,NO,1706672449
239,utrik,11.2278,169.8474,299.31,78,100,7.35,MH,1706672326
240,kakonko,-3.2828,30.9642,290.81,97,100,0.3,TZ,1706672431
241,mawu,29.5923,107.3139,280.65,86,100,0.59,CN,1706672450
242,walvis bay,-22.9575,14.5053,290.68,100,3,4.12,NA,1706672431
243,rio preto da eva,-2.6994,-59.6997,297.32,94,100,1.44,BR,1706672450
244,calingasta,-31.3308,-69.4078,299.68,34,42,0.86,AR,1706672450
245,siem reap,13.5,104.0,305.83,38,47,2.06,KH,1706672450
246,longyearbyen,78.2186,15.6401,268.06,63,75,5.66,SJ,1706672450
247,kuta,-8.7233,115.1723,304.12,70,20,3.13,ID,1706672451
248,amungan,15.3652,119.9582,301.53,57,59,2.85,PH,1706672451
249,hithadhoo,-0.6,73.0833,300.7,74,24,2.08,MV,1706672451
250,nova vicosa,-17.8919,-39.3719,298.29,90,100,4.29,BR,1706672451
251,rio gallegos,-51.6226,-69.2181,285.18,54,0,5.66,AR,1706672451
252,bowling green,36.9903,-86.4436,279.11,80,100,2.06,US,1706672451
253,mahanje,-9.9333,35.3333,291.13,95,85,0.87,TZ,1706672452
254,an nuhud,12.7,28.4333,287.95,24,42,7.09,SD,1706672452
255,hermanus,-34.4187,19.2345,293.04,78,100,2.24,ZA,1706672452
256,egilsstadir,65.2653,-14.3948,270.1,74,0,2.57,IS,1706672452
257,touros,-5.1989,-35.4608,300.36,71,35,4.65,BR,1706672178
258,fortaleza,-3.7227,-38.5247,302.16,83,40,3.6,BR,1706672248
259,basoko,1.2391,23.616,297.28,71,100,1.37,CD,1706672452
260,lib,8.3122,167.3766,300.11,80,100,10.87,MH,1706672452
261,wailua homesteads,22.0669,-159.378,296.59,79,75,2.06,US,1706672453
262,gumdag,39.2061,54.5906,274.82,67,29,0.25,TM,1706672453
263,bikenibeu village,1.3673,173.1241,303.13,79,75,1.03,KI,1706672453
264,cabedelo,-6.9811,-34.8339,298.52,74,17,3.89,BR,1706672453
265,suileng,47.25,127.0833,253.89,80,46,4.35,CN,1706672453
266,susuman,62.7833,148.1667,240.92,97,100,0.89,RU,1706672327
267,rongelap,11.1635,166.8941,298.98,76,100,8.61,MH,1706672454
268,anloga,5.7947,0.8973,299.97,80,8,5.18,GH,1706672454
269,vojens,55.2464,9.306,278.03,87,75,7.2,DK,1706672454
270,alaghsas,17.0187,8.0168,290.95,25,9,8.14,NE,1706672454
271,tipasa,36.5897,2.4475,286.66,86,100,1.37,DZ,1706672454
272,talcahuano,-36.7167,-73.1167,291.97,63,0,3.09,CL,1706672454
273,bogande,12.9714,-0.1436,293.97,19,53,4.29,BF,1706672454
274,george town,5.4112,100.3354,305.9,64,20,3.09,MY,1706672192
275,tralee,52.2704,-9.7026,279.89,87,100,4.96,IE,1706672363
276,cape coast,5.1053,-1.2466,299.01,86,7,3.01,GH,1706672455
277,okhotsk,59.3833,143.3,254.18,78,38,6.15,RU,1706672455
278,cidreira,-30.1811,-50.2056,292.79,91,9,2.7,BR,1706672455
279,singkil,-7.9855,111.4161,303.31,70,19,1.48,ID,1706672455
280,trevelin,-43.0858,-71.4639,292.86,74,86,2.18,AR,1706672455
281,calama,-22.4667,-68.9333,287.42,26,0,2.57,CL,1706672455
282,taoudenni,22.6783,-3.9836,289.87,30,0,5.4,ML,1706672456
